pop_yr_n,Location,wpr_est20,wpr_est50,wpr_est100,wpr_est200,wpr_est300
2011,Luebo,64261.97934,205104.5199,762598.2756,3729986.097,9590986.969
2012,Luebo,69216.07691,216915.9879,823886.2033,3952819.976,10084560.74
2013,Luebo,72271.60132,235586.5809,872314.5396,4190273.935,10591304.09
2014,Luebo,75937.2957,245770.1631,922764.8481,4439479.085,11129347.9
2015,Luebo,81089.10987,261929.3292,979507.774,4716507.697,11704627.69
2016,Luebo,84710.55001,278231.5458,1059574.354,5012273.935,12317002.52
2017,Luebo,91073.87201,298105.5654,1119472.067,5322839.929,12977322.54
2018,Luebo,97909.64267,315316.8161,1182356.253,5649292.611,13679927.86
2019,Luebo,102305.6213,334676.9822,1256938.721,6001349.042,14407568.84
2020,Luebo,110666,357139,1356965,6393065,15176777
2000,Mbandaka,182679.7349,215131.2283,343838.7946,740460.0057,1668922.741
2001,Mbandaka,194863.3079,227274.0036,361736.6007,761762.5916,1716718.899
2002,Mbandaka,199414.0573,234086.9759,374582.8854,792189.3174,1780025.703
2003,Mbandaka,209978.9793,244739.0953,391087.2191,823537.667,1839739.715
2004,Mbandaka,210157.8444,247937.731,404451.8526,861266.055,1915301.726
2005,Mbandaka,223607.9558,261012.8679,421500.7586,892894.3111,1975814.179
2006,Mbandaka,230493.1453,269682.8295,436004.2309,928395.1167,2047802.612
2007,Mbandaka,238054.7626,280999.2333,456851.5796,972715.496,2133982.548
2008,Mbandaka,246282.1069,285876.7333,467633.5373,1008232.352,2206127.048
2009,Mbandaka,258485.9625,301988.3438,490023.416,1055498.618,2298848.997
2010,Mbandaka,264877.6262,309870.7664,517184.2435,1102232.247,2399960.921
2011,Mbandaka,277534.3198,320566.4139,535108.9902,1147621.509,2480420.338
2012,Mbandaka,286742.9195,327946.2762,556500.7474,1183452.481,2579125.655
2013,Mbandaka,293548.085,345420.2706,585507.476,1250471.102,2718077.384
2014,Mbandaka,298659.7029,355802.2339,612333.6863,1318070.094,2851192.149
2015,Mbandaka,305308.677,370200.7126,637050.1599,1374328.612,2962301.903
2016,Mbandaka,318058.019,380676.5352,667673.59,1449489.027,3107233.681
2017,Mbandaka,333058.919,400511.0608,703261.1407,1528447.869,3255022.399
2018,Mbandaka,341168.6285,414345.688,736596.0247,1627390.6,3429362.408
2019,Mbandaka,353411.152,429097.4094,770308.5418,1707303.787,3599910.418
2020,Mbandaka,367765,440383,806678,1804294,3790915
2000,Nkivu,121292.1429,615404.9735,2180321.479,6226902.956,16517694.83
2001,Nkivu,123721.5485,641405.1366,2263117.857,6459694.66,16997321.23
2002,Nkivu,125470.7033,671885.7785,2355456.948,6688230.322,17510765.34
2003,Nkivu,128191.4424,700402.6862,2459804.996,6924520.589,18059316.13
2004,Nkivu,119579.2525,731211.6535,2547248.287,7164950.522,18624100.78
2005,Nkivu,139880.9455,767296.0685,2647515.985,7420104.605,19221551.79
2006,Nkivu,152160.3344,804775.6075,2747970.816,7674808.972,19834236.04
2007,Nkivu,151859.3896,835896.7611,2853750.178,7958770.942,20491852.34
2008,Nkivu,158117.086,874926.1003,3018961.968,8260239.854,21167778.92
2009,Nkivu,169976.3858,909121.7005,3136200.684,8560748.943,21878915.83
2010,Nkivu,174607.0573,948707.3518,3262159.922,8880434.762,22619008.56
2011,Nkivu,181012.3237,998476.9079,3387213.01,9190392.203,23367340.3
2012,Nkivu,204306.6305,1050984.592,3555233.543,9525360.36,24155543.76
2013,Nkivu,219514.3248,1094786.659,3675454.309,9903941.566,24989084.48
2014,Nkivu,226885.6555,1139998.028,3773220.463,10284069.51,25850947.55
2015,Nkivu,226170.2677,1189553.922,3933149.208,10673789.36,26789153.79
2016,Nkivu,236869.271,1247517.192,4115064.784,11072569.53,27747326.62
2017,Nkivu,254738.6265,1300862.103,4263167.608,11481047.58,28741490.73
2018,Nkivu,261995.3153,1355324.572,4421357.196,11909811.83,29783524.27
2019,Nkivu,283162.4053,1418149.024,4597169.963,12368173.49,30868463.69
2020,Nkivu,279724,1483824,4805191,12840763,31986969
2000,Odzala,2.588075077,2.523497433,11611.29971,157747.3937,364708.1163
2001,Odzala,2.39980767,2.389342243,12094.48415,163453.9638,375157.6182
2002,Odzala,2.531096345,2.528798245,12451.73649,166156.4135,387128.3791
2003,Odzala,2.674925754,2.607072595,12936.47379,169978.7254,394341.2488
2004,Odzala,2.798211523,2.794972679,13368.09705,173139.903,406764.5971
2005,Odzala,2.9171755,2.925178911,14199.95425,178444.7811,421354.132
2006,Odzala,3.011469902,3.032458655,14721.3025,184403.5249,434544.1168
2007,Odzala,3.087642669,3.050874304,14865.40848,187489.4374,445720.5387
2008,Odzala,3.220731922,3.202892257,15314.93817,193317.8408,462835.5757
2009,Odzala,3.504172969,3.433674344,16229.72697,199349.215,478215.6906
2010,Odzala,3.709282918,3.624988945,16939.8318,206498.7184,496298.8403
2011,Odzala,3.605946631,3.625574779,17736.91925,213780.9396,517706.0288
2012,Odzala,3.625946382,3.646028132,18541.46913,222481.1676,536420.0959
2013,Odzala,3.912021564,3.813156423,19200.10453,226672.0172,562615.6042
2014,Odzala,4.217499837,4.09468947,19997.34555,234460.5744,593220.029
2015,Odzala,4.29899541,4.312106329,21582.72138,243076.5343,618204.5793
2016,Odzala,4.238925092,4.222227685,21808.04716,251365.7528,654000.6065
2017,Odzala,4.786364933,4.695718146,23042.57766,260575.2006,697830.5859
2018,Odzala,4.633976999,4.64536664,24043.58926,268660.0044,743022.1255
2019,Odzala,4.864098318,4.918462478,24904.39239,279906.7452,783528.0306
2020,Odzala,5,5,26157,289560,832541
