"Location","buffer","Description","Value","year","cumsum_diff_pland","year_fac","color"
"NKivu","100","Mosaic tree and shrub (>50%) / herbaceous cover (50%) / tree and shrub (<50%)",100,1992,NA,"1991_1992","#8DA000"
"Bikoro","100","Shrub or herbaceous cover, flooded, fresh/saline/brackish water",180,1992,NA,"1991_1992","#00DC83"
"Boende","100","Shrub or herbaceous cover, flooded, fresh/saline/brackish water",180,1992,NA,"1991_1992","#00DC83"
"Kikwit","100","Shrub or herbaceous cover, flooded, fresh/saline/brackish water",180,1992,NA,"1991_1992","#00DC83"
"Likati","100","Shrub or herbaceous cover, flooded, fresh/saline/brackish water",180,1992,NA,"1991_1992","#00DC83"
"Luebo","100","Shrub or herbaceous cover, flooded, fresh/saline/brackish water",180,1992,NA,"1991_1992","#00DC83"
"Mbandaka","100","Shrub or herbaceous cover, flooded, fresh/saline/brackish water",180,1992,NA,"1991_1992","#00DC83"
"NKivu","100","Shrub or herbaceous cover, flooded, fresh/saline/brackish water",180,1992,NA,"1991_1992","#00DC83"
"Bikoro","100","Shrubland",120,1992,NA,"1991_1992","#966400"
"Boende","100","Shrubland",120,1992,NA,"1991_1992","#966400"
"Kikwit","100","Shrubland",120,1992,NA,"1991_1992","#966400"
"Luebo","100","Shrubland",120,1992,NA,"1991_1992","#966400"
"Mbandaka","100","Shrubland",120,1992,NA,"1991_1992","#966400"
"NKivu","100","Shrubland",120,1992,NA,"1991_1992","#966400"
"Kikwit","100","Tree cover, broadleaved, deciduous, closed (>40%)",61,1992,NA,"1991_1992","#00A001"
"Bikoro","100","Tree cover, broadleaved, deciduous, closed to open (>15%)",60,1992,NA,"1991_1992","#00A000"
"Kikwit","100","Tree cover, broadleaved, deciduous, closed to open (>15%)",60,1992,NA,"1991_1992","#00A000"
"Likati","100","Tree cover, broadleaved, deciduous, closed to open (>15%)",60,1992,NA,"1991_1992","#00A000"
"Luebo","100","Tree cover, broadleaved, deciduous, closed to open (>15%)",60,1992,NA,"1991_1992","#00A000"
"Mbandaka","100","Tree cover, broadleaved, deciduous, closed to open (>15%)",60,1992,NA,"1991_1992","#00A000"
"NKivu","100","Tree cover, broadleaved, deciduous, closed to open (>15%)",60,1992,NA,"1991_1992","#00A000"
