"Location","buffer","Description","Value","year","cumsum_diff_pland","year_fac","color"
"NKivu","300","Decidiuous shrubland",122,2005,3.9192500123182e-05,"2004_2005","#966400"
"Bikoro","300","Grasslands",130,2005,-0.00189803360359338,"2004_2005","#FFB432"
"Boende","300","Grasslands",130,2005,3.35933684003308e-05,"2004_2005","#FFB432"
"Kikwit","300","Grasslands",130,2005,-0.00142211782906851,"2004_2005","#FFB432"
"Likati","300","Grasslands",130,2005,0.00017916372866146,"2004_2005","#FFB432"
"Luebo","300","Grasslands",130,2005,0.00132135735650589,"2004_2005","#FFB432"
"Mbandaka","300","Grasslands",130,2005,-0.00113098585461461,"2004_2005","#FFB432"
"NKivu","300","Grasslands",130,2005,-0.00166288179093959,"2004_2005","#FFB432"
"Bikoro","300","Herbaceous cover",11,2005,0.0381510353241429,"2004_2005","gold1"
"Boende","300","Herbaceous cover",11,2005,0.0670803578007274,"2004_2005","gold1"
"Kikwit","300","Herbaceous cover",11,2005,0.0248142764505242,"2004_2005","gold1"
"Likati","300","Herbaceous cover",11,2005,0.117570598067562,"2004_2005","gold1"
"Luebo","300","Herbaceous cover",11,2005,0.0410460626294248,"2004_2005","gold1"
"Mbandaka","300","Herbaceous cover",11,2005,0.0449202946117368,"2004_2005","gold1"
"NKivu","300","Herbaceous cover",11,2005,0.184193552721755,"2004_2005","gold1"
"Bikoro","300","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,2005,0.0139245120122015,"2004_2005","#DCF064"
"Boende","300","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,2005,0.0398641305017259,"2004_2005","#DCF064"
"Kikwit","300","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,2005,0.0327870945158553,"2004_2005","#DCF064"
"Likati","300","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,2005,0.0967484134771886,"2004_2005","#DCF064"
"Luebo","300","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,2005,0.0538397133057631,"2004_2005","#DCF064"
"Mbandaka","300","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,2005,0.0138797719484602,"2004_2005","#DCF064"
"NKivu","300","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,2005,0.113372704999176,"2004_2005","#DCF064"
"Bikoro","300","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",110,2005,6.71870302156931e-05,"2004_2005","#BE9600"
"Boende","300","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",110,2005,-1.22251412485518e-34,"2004_2005","#BE9600"
"Kikwit","300","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",110,2005,-0.000727855581806881,"2004_2005","#BE9600"
"Likati","300","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",110,2005,-0.00184202708530096,"2004_2005","#BE9600"
"Luebo","300","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",110,2005,0.00247474555752372,"2004_2005","#BE9600"
"Mbandaka","300","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",110,2005,4.47915189946272e-05,"2004_2005","#BE9600"
"NKivu","300","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",110,2005,-0.0057500996609288,"2004_2005","#BE9600"
"Bikoro","300","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",40,2005,-0.192037329113987,"2004_2005","#C8C864"
"Boende","300","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",40,2005,-0.020928668513406,"2004_2005","#C8C864"
"Kikwit","300","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",40,2005,-1.41622779774529,"2004_2005","#C8C864"
"Likati","300","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",40,2005,0.00121495403498517,"2004_2005","#C8C864"
"Luebo","300","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",40,2005,-0.151883309364136,"2004_2005","#C8C864"
"Mbandaka","300","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",40,2005,-0.152772673410926,"2004_2005","#C8C864"
"NKivu","300","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",40,2005,-0.0432797179931639,"2004_2005","#C8C864"
"Bikoro","300","Mosaic tree and shrub (>50%) / herbaceous cover (50%) / tree and shrub (<50%)",100,2005,0.0612633737183395,"2004_2005","#8DA000"
"Boende","300","Mosaic tree and shrub (>50%) / herbaceous cover (50%) / tree and shrub (<50%)",100,2005,0.000587883947005751,"2004_2005","#8DA000"
"Kikwit","300","Mosaic tree and shrub (>50%) / herbaceous cover (50%) / tree and shrub (<50%)",100,2005,0.205983129651346,"2004_2005","#8DA000"
"Likati","300","Mosaic tree and shrub (>50%) / herbaceous cover (50%) / tree and shrub (<50%)",100,2005,0.00260907179863231,"2004_2005","#8DA000"
"Luebo","300","Mosaic tree and shrub (>50%) / herbaceous cover (50%) / tree and shrub (<50%)",100,2005,0.0730665826372972,"2004_2005","#8DA000"
"Mbandaka","300","Mosaic tree and shrub (>50%) / herbaceous cover (50%) / tree and shrub (<50%)",100,2005,0.0506424111633004,"2004_2005","#8DA000"
"NKivu","300","Mosaic tree and shrub (>50%) / herbaceous cover (50%) / tree and shrub (<50%)",100,2005,0.012759958254389,"2004_2005","#8DA000"
"Bikoro","300","Shrub or herbaceous cover, flooded, fresh/saline/brackish water",180,2005,-0.0165560040289811,"2004_2005","#00DC83"
"Boende","300","Shrub or herbaceous cover, flooded, fresh/saline/brackish water",180,2005,-0.000459109368137816,"2004_2005","#00DC83"
"Kikwit","300","Shrub or herbaceous cover, flooded, fresh/saline/brackish water",180,2005,-0.014859451647041,"2004_2005","#00DC83"
"Likati","300","Shrub or herbaceous cover, flooded, fresh/saline/brackish water",180,2005,0.000414316122529623,"2004_2005","#00DC83"
"Luebo","300","Shrub or herbaceous cover, flooded, fresh/saline/brackish water",180,2005,0.000313542423577415,"2004_2005","#00DC83"
"Mbandaka","300","Shrub or herbaceous cover, flooded, fresh/saline/brackish water",180,2005,-0.0151507312999326,"2004_2005","#00DC83"
"NKivu","300","Shrub or herbaceous cover, flooded, fresh/saline/brackish water",180,2005,-0.00277146965156705,"2004_2005","#00DC83"
"Bikoro","300","Shrubland",120,2005,0.000481507049879313,"2004_2005","#966400"
"Boende","300","Shrubland",120,2005,-3.91922631337225e-05,"2004_2005","#966400"
"Kikwit","300","Shrubland",120,2005,-0.00541972463991666,"2004_2005","#966400"
"Likati","300","Shrubland",120,2005,-0.0674943359066848,"2004_2005","#966400"
"Luebo","300","Shrubland",120,2005,0.00904793850895572,"2004_2005","#966400"
"Mbandaka","300","Shrubland",120,2005,0.000615883386176149,"2004_2005","#966400"
"NKivu","300","Shrubland",120,2005,-0.0192491164890679,"2004_2005","#966400"
"Kikwit","300","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",150,2005,-0.00325855345085848,"2004_2005","#FFEBAF"
"NKivu","300","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",150,2005,-0.000117577500369522,"2004_2005","#FFEBAF"
"Bikoro","300","Tree cover, broadleaved, deciduous, closed (>40%)",61,2005,7.83848685849712e-05,"2004_2005","#00A001"
"Kikwit","300","Tree cover, broadleaved, deciduous, closed (>40%)",61,2005,0.00291142232722755,"2004_2005","#00A001"
"Luebo","300","Tree cover, broadleaved, deciduous, closed (>40%)",61,2005,0.000195964014736035,"2004_2005","#00A001"
"Mbandaka","300","Tree cover, broadleaved, deciduous, closed (>40%)",61,2005,6.71872784919415e-05,"2004_2005","#00A001"
"NKivu","300","Tree cover, broadleaved, deciduous, closed (>40%)",61,2005,0.000179165714848816,"2004_2005","#00A001"
"Bikoro","300","Tree cover, broadleaved, deciduous, closed to open (>15%)",60,2005,0.00879590203907113,"2004_2005","#00A000"
"Boende","300","Tree cover, broadleaved, deciduous, closed to open (>15%)",60,2005,9.5181210467604e-05,"2004_2005","#00A000"
"Kikwit","300","Tree cover, broadleaved, deciduous, closed to open (>15%)",60,2005,0.482758612967058,"2004_2005","#00A000"
"Likati","300","Tree cover, broadleaved, deciduous, closed to open (>15%)",60,2005,-0.00233472733911968,"2004_2005","#00A000"
"Luebo","300","Tree cover, broadleaved, deciduous, closed to open (>15%)",60,2005,0.0140422213987993,"2004_2005","#00A000"
"Mbandaka","300","Tree cover, broadleaved, deciduous, closed to open (>15%)",60,2005,0.00545336743759589,"2004_2005","#00A000"
"NKivu","300","Tree cover, broadleaved, deciduous, closed to open (>15%)",60,2005,-0.0130455036124281,"2004_2005","#00A000"
"Bikoro","300","Tree cover, broadleaved, deciduous, open (15-40%)",62,2005,0.0512916986504954,"2004_2005","#AAC800"
"Boende","300","Tree cover, broadleaved, deciduous, open (15-40%)",62,2005,-3.359336840033e-05,"2004_2005","#AAC800"
"Kikwit","300","Tree cover, broadleaved, deciduous, open (15-40%)",62,2005,0.373289133463291,"2004_2005","#AAC800"
"Likati","300","Tree cover, broadleaved, deciduous, open (15-40%)",62,2005,0.0205534389973828,"2004_2005","#AAC800"
"Luebo","300","Tree cover, broadleaved, deciduous, open (15-40%)",62,2005,0.0433920318343987,"2004_2005","#AAC800"
"Mbandaka","300","Tree cover, broadleaved, deciduous, open (15-40%)",62,2005,0.0438061055767456,"2004_2005","#AAC800"
"NKivu","300","Tree cover, broadleaved, deciduous, open (15-40%)",62,2005,-0.0399091629825675,"2004_2005","#AAC800"
"Bikoro","300","Tree cover, broadleaved, evergreen, closed to open (>15%)",50,2005,-0.0219981534764436,"2004_2005","#006400"
"Boende","300","Tree cover, broadleaved, evergreen, closed to open (>15%)",50,2005,-0.130487840656381,"2004_2005","#006400"
"Kikwit","300","Tree cover, broadleaved, evergreen, closed to open (>15%)",50,2005,0.185390415575315,"2004_2005","#006400"
"Likati","300","Tree cover, broadleaved, evergreen, closed to open (>15%)",50,2005,-0.233607106708467,"2004_2005","#006400"
"Luebo","300","Tree cover, broadleaved, evergreen, closed to open (>15%)",50,2005,-0.117673591363075,"2004_2005","#006400"
"Mbandaka","300","Tree cover, broadleaved, evergreen, closed to open (>15%)",50,2005,-0.0397468741678495,"2004_2005","#006400"
"NKivu","300","Tree cover, broadleaved, evergreen, closed to open (>15%)",50,2005,-0.300640069516307,"2004_2005","#006400"
"Bikoro","300","Tree cover, flooded, fresh or brackish water",160,2005,0.0390804559087916,"2004_2005","#00785A"
"Boende","300","Tree cover, flooded, fresh or brackish water",160,2005,0.0060244107331249,"2004_2005","#00785A"
"Kikwit","300","Tree cover, flooded, fresh or brackish water",160,2005,0.114441293016404,"2004_2005","#00785A"
"Likati","300","Tree cover, flooded, fresh or brackish water",160,2005,0.00393600316403115,"2004_2005","#00785A"
"Luebo","300","Tree cover, flooded, fresh or brackish water",160,2005,0.00278268900925048,"2004_2005","#00785A"
"Mbandaka","300","Tree cover, flooded, fresh or brackish water",160,2005,0.0340975438346561,"2004_2005","#00785A"
"NKivu","300","Tree cover, flooded, fresh or brackish water",160,2005,0.00129335250406524,"2004_2005","#00785A"
"Bikoro","300","Tree cover, flooded, saline water",170,2005,0.000979810857312476,"2004_2005","#009678"
"Boende","300","Tree cover, flooded, saline water",170,2005,0.000324735894536513,"2004_2005","#009678"
"Kikwit","300","Tree cover, flooded, saline water",170,2005,0.00156768894543028,"2004_2005","#009678"
"Likati","300","Tree cover, flooded, saline water",170,2005,0.000111977330413383,"2004_2005","#009678"
"Luebo","300","Tree cover, flooded, saline water",170,2005,-0.000190365042886487,"2004_2005","#009678"
"Mbandaka","300","Tree cover, flooded, saline water",170,2005,0.00101900705712769,"2004_2005","#009678"
"NKivu","300","Tree cover, flooded, saline water",170,2005,0.000313540000985431,"2004_2005","#009678"
"NKivu","300","Tree cover, needleleaved, evergreen, closed to open (>15%)",70,2005,-0.00099660928884648,"2004_2005","#003C00"
"Bikoro","300","Tree or shrub cover",12,2005,0.000319138393524515,"2004_2005","#FFFF00"
"Boende","300","Tree or shrub cover",12,2005,0.00033033478926992,"2004_2005","#FFFF00"
"Kikwit","300","Tree or shrub cover",12,2005,0.000447911127265782,"2004_2005","#FFFF00"
"Likati","300","Tree or shrub cover",12,2005,0.000207158061264813,"2004_2005","#FFFF00"
"Luebo","300","Tree or shrub cover",12,2005,2.79948592480058e-05,"2004_2005","#FFFF00"
"Mbandaka","300","Tree or shrub cover",12,2005,0.000442316250071947,"2004_2005","#FFFF00"
"NKivu","300","Tree or shrub cover",12,2005,0.00024635285791712,"2004_2005","#FFFF00"
"Bikoro","300","Urban areas",190,2005,0.0007558540899265,"2004_2005","#C31400"
"Boende","300","Urban areas",190,2005,0.000599081736472572,"2004_2005","#C31400"
"Kikwit","300","Urban areas",190,2005,0.00431114459993309,"2004_2005","#C31400"
"Likati","300","Urban areas",190,2005,0.00129893703279558,"2004_2005","#C31400"
"Luebo","300","Urban areas",190,2005,0.00340977385640715,"2004_2005","#C31400"
"Mbandaka","300","Urban areas",190,2005,0.000683070664668071,"2004_2005","#C31400"
"NKivu","300","Urban areas",190,2005,0.00717782645113034,"2004_2005","#C31400"
"Bikoro","300","Water bodies",210,2005,0.0110074751170057,"2004_2005","#0046C8"
"Boende","300","Water bodies",210,2005,0.00723377199553805,"2004_2005","#0046C8"
"Kikwit","300","Water bodies",210,2005,0.0209734385342206,"2004_2005","#0046C8"
"Likati","300","Water bodies",210,2005,0.0086166555753119,"2004_2005","#0046C8"
"Luebo","300","Water bodies",210,2005,0.00298425199583783,"2004_2005","#0046C8"
"Mbandaka","300","Water bodies",210,2005,0.0082976288937546,"2004_2005","#0046C8"
"NKivu","300","Water bodies",210,2005,0.00110298893204134,"2004_2005","#0046C8"
"Boende","50","Bare areas",200,2005,6.7762635780344e-19,"2004_2005","#FFF5D7"
"Mbandaka","50","Bare areas",200,2005,0.000201580390259638,"2004_2005","#FFF5D7"
"Kikwit","50","Cropland, irrigated or post-flooding",20,2005,0.00080619480084973,"2004_2005","#AAF0F0"
"Bikoro","50","Cropland, rainfed",10,2005,0.00120948234155787,"2004_2005","yellow1"
"Boende","50","Cropland, rainfed",10,2005,0.00100762165016194,"2004_2005","yellow1"
"Kikwit","50","Cropland, rainfed",10,2005,-3.46944695195361e-16,"2004_2005","yellow1"
"Likati","50","Cropland, rainfed",10,2005,0.0836376534700555,"2004_2005","yellow1"
"Luebo","50","Cropland, rainfed",10,2005,0.0475729721012744,"2004_2005","yellow1"
"Mbandaka","50","Cropland, rainfed",10,2005,0.00463634897597182,"2004_2005","yellow1"
"NKivu","50","Cropland, rainfed",10,2005,0.226954814626686,"2004_2005","yellow1"
"Kikwit","50","Decidiuous shrubland",122,2005,-2.03287907341032e-18,"2004_2005","#966400"
"Kikwit","50","Grasslands",130,2005,-1.6940658945086e-18,"2004_2005","#FFB432"
"Luebo","50","Grasslands",130,2005,0,"2004_2005","#FFB432"
"NKivu","50","Grasslands",130,2005,-0.00423272744863283,"2004_2005","#FFB432"
"Bikoro","50","Herbaceous cover",11,2005,0.0880906305434604,"2004_2005","gold1"
"Boende","50","Herbaceous cover",11,2005,0.0259966385741749,"2004_2005","gold1"
"Kikwit","50","Herbaceous cover",11,2005,0.000201548700212432,"2004_2005","gold1"
"Likati","50","Herbaceous cover",11,2005,0.206373390730933,"2004_2005","gold1"
"Luebo","50","Herbaceous cover",11,2005,0.0153201096597328,"2004_2005","gold1"
"Mbandaka","50","Herbaceous cover",11,2005,0.038905015320111,"2004_2005","gold1"
"NKivu","50","Herbaceous cover",11,2005,1.0390338094144,"2004_2005","gold1"
"Bikoro","50","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,2005,0.011490082244799,"2004_2005","#DCF064"
"Boende","50","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,2005,0.00584420557093871,"2004_2005","#DCF064"
"Kikwit","50","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,2005,-5.42101086242752e-17,"2004_2005","#DCF064"
"Likati","50","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,2005,0.164856868767483,"2004_2005","#DCF064"
"Luebo","50","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,2005,0.0413239800032266,"2004_2005","#DCF064"
"Mbandaka","50","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,2005,0.0145137880986958,"2004_2005","#DCF064"
"NKivu","50","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,2005,0.55408417887102,"2004_2005","#DCF064"
"Kikwit","50","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",110,2005,-4.06575814682064e-18,"2004_2005","#BE9600"
"NKivu","50","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",110,2005,-0.00483740279843751,"2004_2005","#BE9600"
"Bikoro","50","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",40,2005,-0.0251975487824545,"2004_2005","#C8C864"
"Boende","50","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",40,2005,0.00141067031022647,"2004_2005","#C8C864"
"Kikwit","50","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",40,2005,-0.0110851785116838,"2004_2005","#C8C864"
"Likati","50","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",40,2005,0.0300289406434659,"2004_2005","#C8C864"
"Luebo","50","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",40,2005,-0.078817932591517,"2004_2005","#C8C864"
"Mbandaka","50","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",40,2005,0.00383002741493314,"2004_2005","#C8C864"
"NKivu","50","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",40,2005,0.141292473404361,"2004_2005","#C8C864"
"Bikoro","50","Mosaic tree and shrub (>50%) / herbaceous cover (50%) / tree and shrub (<50%)",100,2005,0.0030237058538944,"2004_2005","#8DA000"
"Kikwit","50","Mosaic tree and shrub (>50%) / herbaceous cover (50%) / tree and shrub (<50%)",100,2005,0.0122944707129584,"2004_2005","#8DA000"
"Likati","50","Mosaic tree and shrub (>50%) / herbaceous cover (50%) / tree and shrub (<50%)",100,2005,0,"2004_2005","#8DA000"
"Luebo","50","Mosaic tree and shrub (>50%) / herbaceous cover (50%) / tree and shrub (<50%)",100,2005,0.0169327527818112,"2004_2005","#8DA000"
"Mbandaka","50","Mosaic tree and shrub (>50%) / herbaceous cover (50%) / tree and shrub (<50%)",100,2005,0.00262054507337521,"2004_2005","#8DA000"
"NKivu","50","Mosaic tree and shrub (>50%) / herbaceous cover (50%) / tree and shrub (<50%)",100,2005,0.0364820794382162,"2004_2005","#8DA000"
"Bikoro","50","Shrub or herbaceous cover, flooded, fresh/saline/brackish water",180,2005,-0.0114900822447993,"2004_2005","#00DC83"
"Kikwit","50","Shrub or herbaceous cover, flooded, fresh/saline/brackish water",180,2005,0.00100774350106228,"2004_2005","#00DC83"
"Likati","50","Shrub or herbaceous cover, flooded, fresh/saline/brackish water",180,2005,-0.000201536514385677,"2004_2005","#00DC83"
"Luebo","50","Shrub or herbaceous cover, flooded, fresh/saline/brackish water",180,2005,7.45388993583784e-18,"2004_2005","#00DC83"
"Mbandaka","50","Shrub or herbaceous cover, flooded, fresh/saline/brackish water",180,2005,-0.0104821802935009,"2004_2005","#00DC83"
"NKivu","50","Shrub or herbaceous cover, flooded, fresh/saline/brackish water",180,2005,-5.9292306307801e-19,"2004_2005","#00DC83"
"Kikwit","50","Shrubland",120,2005,-5.42101086242752e-17,"2004_2005","#966400"
"Luebo","50","Shrubland",120,2005,5.42101086242752e-18,"2004_2005","#966400"
"Mbandaka","50","Shrubland",120,2005,-0.000806321561038542,"2004_2005","#966400"
"NKivu","50","Shrubland",120,2005,-0.00786077954746098,"2004_2005","#966400"
"Kikwit","50","Tree cover, broadleaved, deciduous, closed (>40%)",61,2005,-2.5410988417629e-19,"2004_2005","#00A001"
"Bikoro","50","Tree cover, broadleaved, deciduous, closed to open (>15%)",60,2005,0,"2004_2005","#00A000"
"Kikwit","50","Tree cover, broadleaved, deciduous, closed to open (>15%)",60,2005,0.000806194800848439,"2004_2005","#00A000"
"Likati","50","Tree cover, broadleaved, deciduous, closed to open (>15%)",60,2005,0,"2004_2005","#00A000"
"Luebo","50","Tree cover, broadleaved, deciduous, closed to open (>15%)",60,2005,0.00302370585389453,"2004_2005","#00A000"
"Mbandaka","50","Tree cover, broadleaved, deciduous, closed to open (>15%)",60,2005,1.27054942088145e-19,"2004_2005","#00A000"
"NKivu","50","Tree cover, broadleaved, deciduous, closed to open (>15%)",60,2005,-0.00665142884785159,"2004_2005","#00A000"
"Bikoro","50","Tree cover, broadleaved, deciduous, open (15-40%)",62,2005,-0.000201580390259647,"2004_2005","#AAC800"
"Kikwit","50","Tree cover, broadleaved, deciduous, open (15-40%)",62,2005,0.000201548700211329,"2004_2005","#AAC800"
"Likati","50","Tree cover, broadleaved, deciduous, open (15-40%)",62,2005,-0.000604609543157009,"2004_2005","#AAC800"
"Luebo","50","Tree cover, broadleaved, deciduous, open (15-40%)",62,2005,0.0286244154168683,"2004_2005","#AAC800"
"Mbandaka","50","Tree cover, broadleaved, deciduous, open (15-40%)",62,2005,0.00423318819545229,"2004_2005","#AAC800"
"NKivu","50","Tree cover, broadleaved, deciduous, open (15-40%)",62,2005,-0.0310400012899741,"2004_2005","#AAC800"
"Bikoro","50","Tree cover, broadleaved, evergreen, closed to open (>15%)",50,2005,-0.0806321561038687,"2004_2005","#006400"
"Boende","50","Tree cover, broadleaved, evergreen, closed to open (>15%)",50,2005,-0.0340576117754621,"2004_2005","#006400"
"Kikwit","50","Tree cover, broadleaved, evergreen, closed to open (>15%)",50,2005,-0.00725575320764931,"2004_2005","#006400"
"Likati","50","Tree cover, broadleaved, evergreen, closed to open (>15%)",50,2005,-0.495376752359985,"2004_2005","#006400"
"Luebo","50","Tree cover, broadleaved, evergreen, closed to open (>15%)",50,2005,-0.0808337364941001,"2004_2005","#006400"
"Mbandaka","50","Tree cover, broadleaved, evergreen, closed to open (>15%)",50,2005,-0.08184163844541,"2004_2005","#006400"
"NKivu","50","Tree cover, broadleaved, evergreen, closed to open (>15%)",50,2005,-1.99300995295626,"2004_2005","#006400"
"Bikoro","50","Tree cover, flooded, fresh or brackish water",160,2005,0.0209643605870002,"2004_2005","#00785A"
"Boende","50","Tree cover, flooded, fresh or brackish water",160,2005,-0.00020152433003566,"2004_2005","#00785A"
"Kikwit","50","Tree cover, flooded, fresh or brackish water",160,2005,-0.00100774350106012,"2004_2005","#00785A"
"Likati","50","Tree cover, flooded, fresh or brackish water",160,2005,4.14074938043256e-31,"2004_2005","#00785A"
"Luebo","50","Tree cover, flooded, fresh or brackish water",160,2005,0.00161264312207719,"2004_2005","#00785A"
"Mbandaka","50","Tree cover, flooded, fresh or brackish water",160,2005,-0.0497903563941165,"2004_2005","#00785A"
"NKivu","50","Tree cover, flooded, fresh or brackish water",160,2005,-0.0012093506996095,"2004_2005","#00785A"
"Bikoro","50","Tree cover, flooded, saline water",170,2005,0.000806321561038457,"2004_2005","#009678"
"Boende","50","Tree cover, flooded, saline water",170,2005,6.7762635780344e-19,"2004_2005","#009678"
"Kikwit","50","Tree cover, flooded, saline water",170,2005,-2.5410988417629e-19,"2004_2005","#009678"
"Likati","50","Tree cover, flooded, saline water",170,2005,7.82409039907315e-32,"2004_2005","#009678"
"Luebo","50","Tree cover, flooded, saline water",170,2005,0.000403160780519275,"2004_2005","#009678"
"Mbandaka","50","Tree cover, flooded, saline water",170,2005,-0.00141106273181843,"2004_2005","#009678"
"NKivu","50","Tree cover, flooded, saline water",170,2005,-2.71050543121376e-18,"2004_2005","#009678"
"Likati","50","Tree or shrub cover",12,2005,0.000806146057542707,"2004_2005","#FFFF00"
"Bikoro","50","Urban areas",190,2005,0.000201580390259633,"2004_2005","#C31400"
"Boende","50","Urban areas",190,2005,0,"2004_2005","#C31400"
"Kikwit","50","Urban areas",190,2005,0.000201548700212432,"2004_2005","#C31400"
"Likati","50","Urban areas",190,2005,0.00302304771578513,"2004_2005","#C31400"
"Luebo","50","Urban areas",190,2005,0.00141106273181747,"2004_2005","#C31400"
"Mbandaka","50","Urban areas",190,2005,0.00201580390259639,"2004_2005","#C31400"
"NKivu","50","Urban areas",190,2005,0.0509942878335286,"2004_2005","#C31400"
"Bikoro","50","Water bodies",210,2005,-0.00826479600064577,"2004_2005","#0046C8"
"Boende","50","Water bodies",210,2005,1.0842021724855e-17,"2004_2005","#0046C8"
"Kikwit","50","Water bodies",210,2005,0.00382942530403624,"2004_2005","#0046C8"
"Likati","50","Water bodies",210,2005,0.00745685103226996,"2004_2005","#0046C8"
"Luebo","50","Water bodies",210,2005,0.00342686663441401,"2004_2005","#0046C8"
"Mbandaka","50","Water bodies",210,2005,0.0733752620545098,"2004_2005","#0046C8"
"Bikoro","100","Bare areas",200,2006,0.000453518852778705,"2005_2006","#FFF5D7"
"Boende","100","Bare areas",200,2006,6.77626357803439e-19,"2005_2006","#FFF5D7"
"Kikwit","100","Bare areas",200,2006,5.0388089061954e-05,"2005_2006","#FFF5D7"
"Likati","100","Bare areas",200,2006,0.000100778006207925,"2005_2006","#FFF5D7"
"Mbandaka","100","Bare areas",200,2006,0.00166288737717309,"2005_2006","#FFF5D7"
"NKivu","100","Bare areas",200,2006,0.000100781662574931,"2005_2006","#FFF5D7"
"Kikwit","100","Cropland, irrigated or post-flooding",20,2006,0.000201552356247821,"2005_2006","#AAF0F0"
"Luebo","100","Cropland, irrigated or post-flooding",20,2006,-5.0391440711447e-05,"2005_2006","#AAF0F0"
"Bikoro","100","Cropland, rainfed",10,2006,0.00201563934568303,"2005_2006","yellow1"
"Boende","100","Cropland, rainfed",10,2006,0.0148144117015714,"2005_2006","yellow1"
"Kikwit","100","Cropland, rainfed",10,2006,-0.000201552356246178,"2005_2006","yellow1"
"Likati","100","Cropland, rainfed",10,2006,0.0453501027935659,"2005_2006","yellow1"
"Luebo","100","Cropland, rainfed",10,2006,0.0667182675019512,"2005_2006","yellow1"
"Mbandaka","100","Cropland, rainfed",10,2006,0.00740740740740742,"2005_2006","yellow1"
"NKivu","100","Cropland, rainfed",10,2006,0.276595272936896,"2005_2006","yellow1"
"Kikwit","100","Decidiuous shrubland",122,2006,-1.6940658945086e-19,"2005_2006","#966400"
"Kikwit","100","Grasslands",130,2006,-0.00131009031561079,"2005_2006","#FFB432"
"Luebo","100","Grasslands",130,2006,0.00020156576284578,"2005_2006","#FFB432"
"NKivu","100","Grasslands",130,2006,-0.00388009400913453,"2005_2006","#FFB432"
"Bikoro","100","Herbaceous cover",11,2006,0.0751329566103363,"2005_2006","gold1"
"Boende","100","Herbaceous cover",11,2006,0.0234309572830976,"2005_2006","gold1"
"Kikwit","100","Herbaceous cover",11,2006,0.00246901636403579,"2005_2006","gold1"
"Likati","100","Herbaceous cover",11,2006,0.158826137783691,"2005_2006","gold1"
"Luebo","100","Herbaceous cover",11,2006,0.0581517225810055,"2005_2006","gold1"
"Mbandaka","100","Herbaceous cover",11,2006,0.194557823129253,"2005_2006","gold1"
"NKivu","100","Herbaceous cover",11,2006,0.443943223642571,"2005_2006","gold1"
"Bikoro","100","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,2006,0.019098182800347,"2005_2006","#DCF064"
