"Location","yrfac","buffer","year","forest_sum_ha","total","pct_buff"
"Bikoro","1996","50",1996,686633.38652107,4711925.44453413,14.572246411869
"Bikoro","1996","50",1996,686633.38652107,4711925.44453412,14.5722464118691
"Bikoro","1997","100",1997,2741755.89228126,18849240.5056039,14.5457101651716
"Bikoro","1997","20",1997,113048.977263435,754090.438825298,14.9914349052801
"Bikoro","1997","20",1997,113048.977263435,754090.438825294,14.9914349052801
"Bikoro","1997","200",1997,11085534.0790659,75399070.6489449,14.7024810566694
"Bikoro","1997","200",1997,11085534.0790659,75399070.648945,14.7024810566694
"Bikoro","1997","300",1997,24515385.9428989,169645558.126496,14.4509447896178
"Bikoro","1997","50",1997,687763.68632735,4711925.44453412,14.59623447831
"Bikoro","1998","100",1998,2739656.7640696,18849240.5056039,14.5345737577867
"Bikoro","1998","20",1998,113048.977263435,754090.438825298,14.9914349052801
"Bikoro","1998","20",1998,113048.977263435,754090.438825294,14.9914349052801
"Bikoro","1998","200",1998,11080632.9471328,75399070.6489449,14.6959808015722
"Bikoro","1998","200",1998,11080632.9471328,75399070.648945,14.6959808015721
"Bikoro","1998","300",1998,24502477.7291448,169645558.126496,14.4433358584459
"Bikoro","1998","50",1998,687545.225020253,4711925.44453412,14.591598129334
"Bikoro","1999","100",1999,2736845.26203044,18849240.5056039,14.5196580266286
"Bikoro","1999","20",1999,112906.502497938,754090.438825298,14.9725413139863
"Bikoro","1999","200",1999,11078011.4114476,75399070.648945,14.6925039209387
"Bikoro","1999","300",1999,24494594.1254539,169645558.126495,14.4386887555227
"Bikoro","1999","50",1999,686262.952130776,4711925.44453413,14.5643847766489
"Bikoro","1999","50",1999,686262.952130776,4711925.44453412,14.564384776649
"Bikoro","2000","100",2000,2732115.09981593,18849240.5056039,14.4945633167748
"Bikoro","2000","20",2000,112488.576519145,754090.438825296,14.9171201128577
"Bikoro","2000","20",2000,112488.576519145,754090.438825298,14.9171201128577
"Bikoro","2000","200",2000,11067040.8545043,75399070.6489449,14.6779539313316
